timestep,cum_rev,price,soc,charge,discharge
2025-01-01 00:00:00,0.0,2.19,1.0,0.0,0.0
2025-01-01 00:15:00,0.0,2.19,1.0,0.0,0.0
2025-01-01 00:30:00,0.0,2.19,1.0,0.0,0.0
2025-01-01 00:45:00,0.0,2.19,1.0,0.0,0.0
2025-01-01 01:00:00,0.0,2.18,1.0,0.0,0.0
2025-01-01 01:15:00,0.0,2.18,1.0,0.0,0.0
2025-01-01 01:30:00,0.0,2.18,1.0,0.0,0.0
2025-01-01 01:45:00,0.0,2.18,1.0,0.0,0.0
2025-01-01 02:00:00,0.0,1.69,1.0,0.0,0.0
2025-01-01 02:15:00,0.0,1.69,1.0,0.0,0.0
2025-01-01 02:30:00,0.0,1.69,1.0,0.0,0.0
2025-01-01 02:45:00,0.0,1.69,1.0,0.0,0.0
2025-01-01 03:00:00,-0.0225,0.09,1.0,1.0,0.0
2025-01-01 03:15:00,-0.045,0.09,1.95,1.0,0.0
2025-01-01 03:30:00,-0.0675,0.09,2.9,1.0,0.0
2025-01-01 03:45:00,-0.09,0.09,3.85,1.0,0.0
2025-01-01 04:00:00,0.1826,1.16,4.8,0.0,1.0
2025-01-01 04:15:00,0.4552,1.16,3.8,0.0,1.0
2025-01-01 04:30:00,0.7278,1.16,2.8,0.0,1.0
2025-01-01 04:45:00,0.94588,1.16,1.8,0.0,0.8
2025-01-01 05:00:00,0.93588,0.04,1.0,1.0,0.0
2025-01-01 05:15:00,0.92588,0.04,1.95,1.0,0.0
2025-01-01 05:30:00,0.91588,0.04,2.9,1.0,0.0
2025-01-01 05:45:00,0.90588,0.04,3.85,1.0,0.0
2025-01-01 06:00:00,0.92468,0.08,4.8,0.0,1.0
2025-01-01 06:15:00,0.94348,0.08,3.8,0.0,1.0
2025-01-01 06:30:00,0.96228,0.08,2.8,0.0,1.0
2025-01-01 06:45:00,0.97732,0.08,1.8,0.0,0.8
2025-01-01 07:00:00,2.21232,-4.94,1.0,1.0,0.0
2025-01-01 07:15:00,1.109465,-4.94,1.95,0.0,0.95
2025-01-01 07:30:00,2.344465,-4.94,1.0,1.0,0.0
2025-01-01 07:45:00,1.24161,-4.94,1.95,0.0,0.95
2025-01-01 08:00:00,13.80661,-50.26,1.0,1.0,0.0
2025-01-01 08:15:00,26.37161,-50.26,1.95,1.0,0.0
2025-01-01 08:30:00,20.46606,-50.26,2.9,0.0,0.5
2025-01-01 08:45:00,8.65496,-50.26,2.4,0.0,1.0
2025-01-01 09:00:00,26.90246,-72.99,1.4,1.0,0.0
2025-01-01 09:15:00,45.14996,-72.99,2.35,1.0,0.0
2025-01-01 09:30:00,63.39746,-72.99,3.3,1.0,0.0
2025-01-01 09:45:00,81.64496,-72.99,4.25,1.0,0.0
2025-01-01 10:00:00,96.53746,-59.57,5.2,1.0,0.0
2025-01-01 10:15:00,111.42996,-59.57,6.15,1.0,0.0
2025-01-01 10:30:00,126.32246,-59.57,7.1,1.0,0.0
2025-01-01 10:45:00,141.21496,-59.57,8.05,1.0,0.0
2025-01-01 11:00:00,129.87386,-48.26,9.0,0.0,1.0
2025-01-01 11:15:00,141.93886,-48.26,8.0,1.0,0.0
2025-01-01 11:30:00,131.73187,-48.26,8.95,0.0,0.9
2025-01-01 11:45:00,143.79687,-48.26,8.05,1.0,0.0
2025-01-01 12:00:00,142.63597,-4.94,9.0,0.0,1.0
2025-01-01 12:15:00,141.59116,-4.94,8.0,0.0,0.9
2025-01-01 12:30:00,142.82616,-4.94,7.1,1.0,0.0
2025-01-01 12:45:00,144.06116,-4.94,8.05,1.0,0.0
2025-01-01 13:00:00,144.06116,0.13,9.0,0.0,0.0
2025-01-01 13:15:00,144.06116,0.13,9.0,0.0,0.0
2025-01-01 13:30:00,144.06116,0.13,9.0,0.0,0.0
2025-01-01 13:45:00,144.06116,0.13,9.0,0.0,0.0
2025-01-01 14:00:00,144.06116,23.25,9.0,0.0,0.0
2025-01-01 14:15:00,144.06116,23.25,9.0,0.0,0.0
2025-01-01 14:30:00,144.06116,23.25,9.0,0.0,0.0
2025-01-01 14:45:00,144.06116,23.25,9.0,0.0,0.0
2025-01-01 15:00:00,154.68081,45.19,9.0,0.0,1.0
2025-01-01 15:15:00,165.30046,45.19,8.0,0.0,1.0
2025-01-01 15:30:00,175.92011,45.19,7.0,0.0,1.0
2025-01-01 15:45:00,186.53976,45.19,6.0,0.0,1.0
2025-01-01 16:00:00,197.59181,47.03,5.0,0.0,1.0
2025-01-01 16:15:00,208.64386,47.03,4.0,0.0,1.0
2025-01-01 16:30:00,219.69591,47.03,3.0,0.0,1.0
2025-01-01 16:45:00,230.74796,47.03,2.0,0.0,1.0
2025-01-01 17:00:00,230.74796,41.76,1.0,0.0,0.0
2025-01-01 17:15:00,230.74796,41.76,1.0,0.0,0.0
2025-01-01 17:30:00,230.74796,41.76,1.0,0.0,0.0
2025-01-01 17:45:00,230.74796,41.76,1.0,0.0,0.0
2025-01-01 18:00:00,230.74796,39.38,1.0,0.0,0.0
2025-01-01 18:15:00,230.74796,39.38,1.0,0.0,0.0
2025-01-01 18:30:00,230.74796,39.38,1.0,0.0,0.0
2025-01-01 18:45:00,230.74796,39.38,1.0,0.0,0.0
2025-01-01 19:00:00,230.74796,34.63,1.0,0.0,0.0
2025-01-01 19:15:00,230.74796,34.63,1.0,0.0,0.0
2025-01-01 19:30:00,230.74796,34.63,1.0,0.0,0.0
2025-01-01 19:45:00,230.74796,34.63,1.0,0.0,0.0
2025-01-01 20:00:00,230.74796,13.82,1.0,0.0,0.0
2025-01-01 20:15:00,230.74796,13.82,1.0,0.0,0.0
2025-01-01 20:30:00,230.74796,13.82,1.0,0.0,0.0
2025-01-01 20:45:00,230.74796,13.82,1.0,0.0,0.0
2025-01-01 21:00:00,230.74796,9.71,1.0,0.0,0.0
2025-01-01 21:15:00,230.74796,9.71,1.0,0.0,0.0
2025-01-01 21:30:00,230.74796,9.71,1.0,0.0,0.0
2025-01-01 21:45:00,230.74796,9.71,1.0,0.0,0.0
2025-01-01 22:00:00,230.74796,0.04,1.0,0.0,0.0
2025-01-01 22:15:00,230.74796,0.04,1.0,0.0,0.0
2025-01-01 22:30:00,230.74796,0.04,1.0,0.0,0.0
2025-01-01 22:45:00,230.74796,0.04,1.0,0.0,0.0
2025-01-01 23:00:00,234.52796,-15.12,1.0,1.0,0.0
2025-01-01 23:15:00,238.30796,-15.12,1.95,1.0,0.0
2025-01-01 23:30:00,242.08796,-15.12,2.9,1.0,0.0
2025-01-01 23:45:00,245.86796,-15.12,3.85,1.0,0.0
2025-01-02 00:00:00,243.88691,-8.43,4.8,0.0,1.0
2025-01-02 00:15:00,241.90586,-8.43,3.8,0.0,1.0
2025-01-02 00:30:00,240.32102,-8.43,2.8,0.0,0.8
2025-01-02 00:45:00,238.33997,-8.43,2.0,0.0,1.0
2025-01-02 01:00:00,243.59997,-21.04,1.0,1.0,0.0
2025-01-02 01:15:00,248.85997,-21.04,1.95,1.0,0.0
2025-01-02 01:30:00,254.11997,-21.04,2.9,1.0,0.0
2025-01-02 01:45:00,259.37997,-21.04,3.85,1.0,0.0
2025-01-02 02:00:00,256.89837,-10.56,4.8,0.0,1.0
2025-01-02 02:15:00,259.53837,-10.56,3.8,1.0,0.0
2025-01-02 02:30:00,258.29757,-10.56,4.75,0.0,0.5
2025-01-02 02:45:00,260.93757,-10.56,4.25,1.0,0.0
2025-01-02 03:00:00,263.60757,-10.68,5.2,1.0,0.0
2025-01-02 03:15:00,266.27757,-10.68,6.15,1.0,0.0
2025-01-02 03:30:00,268.94757,-10.68,7.1,1.0,0.0
2025-01-02 03:45:00,271.61757,-10.68,8.05,1.0,0.0
2025-01-02 04:00:00,271.61757,0.05,9.0,0.0,0.0
2025-01-02 04:15:00,271.61757,0.05,9.0,0.0,0.0
2025-01-02 04:30:00,271.61757,0.05,9.0,0.0,0.0
2025-01-02 04:45:00,271.61757,0.05,9.0,0.0,0.0
2025-01-02 05:00:00,271.61757,40.08,9.0,0.0,0.0
2025-01-02 05:15:00,271.61757,40.08,9.0,0.0,0.0
2025-01-02 05:30:00,271.61757,40.08,9.0,0.0,0.0
2025-01-02 05:45:00,271.61757,40.08,9.0,0.0,0.0
2025-01-02 06:00:00,271.61757,93.73,9.0,0.0,0.0
2025-01-02 06:15:00,271.61757,93.73,9.0,0.0,0.0
2025-01-02 06:30:00,271.61757,93.73,9.0,0.0,0.0
2025-01-02 06:45:00,271.61757,93.73,9.0,0.0,0.0
2025-01-02 07:00:00,271.61757,107.61,9.0,0.0,0.0
2025-01-02 07:15:00,271.61757,107.61,9.0,0.0,0.0
2025-01-02 07:30:00,271.61757,107.61,9.0,0.0,0.0
2025-01-02 07:45:00,271.61757,107.61,9.0,0.0,0.0
2025-01-02 08:00:00,271.61757,114.93,9.0,0.0,0.0
2025-01-02 08:15:00,271.61757,114.93,9.0,0.0,0.0
2025-01-02 08:30:00,271.61757,114.93,9.0,0.0,0.0
2025-01-02 08:45:00,271.61757,114.93,9.0,0.0,0.0
2025-01-02 09:00:00,299.76822,119.79,9.0,0.0,1.0
2025-01-02 09:15:00,327.91887,119.79,8.0,0.0,1.0
2025-01-02 09:30:00,356.06952,119.79,7.0,0.0,1.0
2025-01-02 09:45:00,378.59004,119.79,6.0,0.0,0.8
2025-01-02 10:00:00,378.59004,110.47,5.2,0.0,0.0
2025-01-02 10:15:00,378.59004,110.47,5.2,0.0,0.0
2025-01-02 10:30:00,378.59004,110.47,5.2,0.0,0.0
2025-01-02 10:45:00,378.59004,110.47,5.2,0.0,0.0
2025-01-02 11:00:00,354.35254,96.95,5.2,1.0,0.0
2025-01-02 11:15:00,330.11504,96.95,6.15,1.0,0.0
2025-01-02 11:30:00,305.87754,96.95,7.1,1.0,0.0
2025-01-02 11:45:00,281.64004,96.95,8.05,1.0,0.0
2025-01-02 12:00:00,281.64004,108.02,9.0,0.0,0.0
2025-01-02 12:15:00,281.64004,108.02,9.0,0.0,0.0
2025-01-02 12:30:00,281.64004,108.02,9.0,0.0,0.0
2025-01-02 12:45:00,281.64004,108.02,9.0,0.0,0.0
2025-01-02 13:00:00,281.64004,113.55,9.0,0.0,0.0
2025-01-02 13:15:00,281.64004,113.55,9.0,0.0,0.0
2025-01-02 13:30:00,281.64004,113.55,9.0,0.0,0.0
2025-01-02 13:45:00,281.64004,113.55,9.0,0.0,0.0
2025-01-02 14:00:00,281.64004,130.11,9.0,0.0,0.0
2025-01-02 14:15:00,281.64004,130.11,9.0,0.0,0.0
2025-01-02 14:30:00,281.64004,130.11,9.0,0.0,0.0
2025-01-02 14:45:00,281.64004,130.11,9.0,0.0,0.0
2025-01-02 15:00:00,281.64004,136.43,9.0,0.0,0.0
2025-01-02 15:15:00,281.64004,136.43,9.0,0.0,0.0
2025-01-02 15:30:00,281.64004,136.43,9.0,0.0,0.0
2025-01-02 15:45:00,281.64004,136.43,9.0,0.0,0.0
2025-01-02 16:00:00,317.35769,151.99,9.0,0.0,1.0
2025-01-02 16:15:00,353.07534,151.99,8.0,0.0,1.0
2025-01-02 16:30:00,388.79299,151.99,7.0,0.0,1.0
2025-01-02 16:45:00,424.51064,151.99,6.0,0.0,1.0
2025-01-02 17:00:00,460.37164,152.6,5.0,0.0,1.0
2025-01-02 17:15:00,496.23264,152.6,4.0,0.0,1.0
2025-01-02 17:30:00,532.09364,152.6,3.0,0.0,1.0
2025-01-02 17:45:00,567.95464,152.6,2.0,0.0,1.0
2025-01-02 18:00:00,567.95464,139.06,1.0,0.0,0.0
2025-01-02 18:15:00,567.95464,139.06,1.0,0.0,0.0
2025-01-02 18:30:00,567.95464,139.06,1.0,0.0,0.0
2025-01-02 18:45:00,567.95464,139.06,1.0,0.0,0.0
2025-01-02 19:00:00,567.95464,128.74,1.0,0.0,0.0
2025-01-02 19:15:00,567.95464,128.74,1.0,0.0,0.0
2025-01-02 19:30:00,567.95464,128.74,1.0,0.0,0.0
2025-01-02 19:45:00,567.95464,128.74,1.0,0.0,0.0
2025-01-02 20:00:00,567.95464,100.91,1.0,0.0,0.0
2025-01-02 20:15:00,567.95464,100.91,1.0,0.0,0.0
2025-01-02 20:30:00,567.95464,100.91,1.0,0.0,0.0
2025-01-02 20:45:00,567.95464,100.91,1.0,0.0,0.0
2025-01-02 21:00:00,567.95464,101.27,1.0,0.0,0.0
2025-01-02 21:15:00,567.95464,101.27,1.0,0.0,0.0
2025-01-02 21:30:00,567.95464,101.27,1.0,0.0,0.0
2025-01-02 21:45:00,567.95464,101.27,1.0,0.0,0.0
2025-01-02 22:00:00,549.25714,74.79,1.0,1.0,0.0
2025-01-02 22:15:00,530.55964,74.79,1.95,1.0,0.0
2025-01-02 22:30:00,511.86214,74.79,2.9,1.0,0.0
2025-01-02 22:45:00,493.16464,74.79,3.85,1.0,0.0
2025-01-02 23:00:00,514.11019,89.13,4.8,0.0,1.0
2025-01-02 23:15:00,535.05574,89.13,3.8,0.0,1.0
2025-01-02 23:30:00,556.0,89.13,2.8,0.0,1.0
2025-01-02 23:45:00,572.75773,89.13,1.8,0.0,0.8
2025-01-03 00:00:00,572.75773,68.97,1.0,0.0,0.0
2025-01-03 00:15:00,572.75773,68.97,1.0,0.0,0.0
2025-01-03 00:30:00,572.75773,68.97,1.0,0.0,0.0
2025-01-03 00:45:00,565.497724,68.97,1.0,0.421053,0.0
2025-01-03 01:00:00,565.497724,73.07,1.4,0.0,0.0
2025-01-03 01:15:00,565.497724,73.07,1.4,0.0,0.0
2025-01-03 01:30:00,565.497724,73.07,1.4,0.0,0.0
2025-01-03 01:45:00,565.497724,73.07,1.4,0.0,0.0
2025-01-03 02:00:00,565.497724,74.27,1.4,0.0,0.0
2025-01-03 02:15:00,565.497724,74.27,1.4,0.0,0.0
2025-01-03 02:30:00,565.497724,74.27,1.4,0.0,0.0
2025-01-03 02:45:00,565.497724,74.27,1.4,0.0,0.0
2025-01-03 03:00:00,552.177724,53.28,1.4,1.0,0.0
2025-01-03 03:15:00,538.857724,53.28,2.35,1.0,0.0
2025-01-03 03:30:00,525.537724,53.28,3.3,1.0,0.0
2025-01-03 03:45:00,512.217724,53.28,4.25,1.0,0.0
2025-01-03 04:00:00,495.217724,68.0,5.2,1.0,0.0
2025-01-03 04:15:00,478.217724,68.0,6.15,1.0,0.0
2025-01-03 04:30:00,461.217724,68.0,7.1,1.0,0.0
2025-01-03 04:45:00,444.217724,68.0,8.05,1.0,0.0
2025-01-03 05:00:00,444.217724,97.53,9.0,0.0,0.0
2025-01-03 05:15:00,444.217724,97.53,9.0,0.0,0.0
2025-01-03 05:30:00,444.217724,97.53,9.0,0.0,0.0
2025-01-03 05:45:00,444.217724,97.53,9.0,0.0,0.0
2025-01-03 06:00:00,444.217724,90.8,9.0,0.0,0.0
2025-01-03 06:15:00,444.217724,90.8,9.0,0.0,0.0
2025-01-03 06:30:00,444.217724,90.8,9.0,0.0,0.0
2025-01-03 06:45:00,444.217724,90.8,9.0,0.0,0.0
2025-01-03 07:00:00,467.694224,99.9,9.0,0.0,1.0
2025-01-03 07:15:00,491.170724,99.9,8.0,0.0,1.0
2025-01-03 07:30:00,514.647224,99.9,7.0,0.0,1.0
2025-01-03 07:45:00,538.123724,99.9,6.0,0.0,1.0
2025-01-03 08:00:00,561.799974,100.75,5.0,0.0,1.0
2025-01-03 08:15:00,585.476224,100.75,4.0,0.0,1.0
2025-01-03 08:30:00,609.152474,100.75,3.0,0.0,1.0
2025-01-03 08:45:00,632.828724,100.75,2.0,0.0,1.0
2025-01-03 09:00:00,612.098724,82.92,1.0,1.0,0.0
2025-01-03 09:15:00,591.368724,82.92,1.95,1.0,0.0
2025-01-03 09:30:00,570.638724,82.92,2.9,1.0,0.0
2025-01-03 09:45:00,549.908724,82.92,3.85,1.0,0.0
2025-01-03 10:00:00,531.426224,73.93,4.8,1.0,0.0
2025-01-03 10:15:00,512.943724,73.93,5.75,1.0,0.0
2025-01-03 10:30:00,494.461224,73.93,6.7,1.0,0.0
2025-01-03 10:45:00,475.978724,73.93,7.65,1.0,0.0
2025-01-03 11:00:00,475.978724,89.18,8.6,0.0,0.0
2025-01-03 11:15:00,475.978724,89.18,8.6,0.0,0.0
2025-01-03 11:30:00,475.978724,89.18,8.6,0.0,0.0
2025-01-03 11:45:00,475.978724,89.18,8.6,0.0,0.0
2025-01-03 12:00:00,475.978724,92.99,8.6,0.0,0.0
2025-01-03 12:15:00,475.978724,92.99,8.6,0.0,0.0
2025-01-03 12:30:00,475.978724,92.99,8.6,0.0,0.0
2025-01-03 12:45:00,475.978724,92.99,8.6,0.0,0.0
2025-01-03 13:00:00,475.978724,94.02,8.6,0.0,0.0
2025-01-03 13:15:00,475.978724,94.02,8.6,0.0,0.0
2025-01-03 13:30:00,475.978724,94.02,8.6,0.0,0.0
2025-01-03 13:45:00,475.978724,94.02,8.6,0.0,0.0
2025-01-03 14:00:00,475.978724,89.08,8.6,0.0,0.0
2025-01-03 14:15:00,475.978724,89.08,8.6,0.0,0.0
2025-01-03 14:30:00,475.978724,89.08,8.6,0.0,0.0
2025-01-03 14:45:00,466.601873,89.08,8.6,0.421053,0.0
2025-01-03 15:00:00,466.601873,100.59,9.0,0.0,0.0
2025-01-03 15:15:00,466.601873,100.59,9.0,0.0,0.0
2025-01-03 15:30:00,466.601873,100.59,9.0,0.0,0.0
2025-01-03 15:45:00,466.601873,100.59,9.0,0.0,0.0
2025-01-03 16:00:00,466.601873,105.93,9.0,0.0,0.0
2025-01-03 16:15:00,466.601873,105.93,9.0,0.0,0.0
2025-01-03 16:30:00,466.601873,105.93,9.0,0.0,0.0
2025-01-03 16:45:00,466.601873,105.93,9.0,0.0,0.0
2025-01-03 17:00:00,492.214523,108.99,9.0,0.0,1.0
2025-01-03 17:15:00,517.827173,108.99,8.0,0.0,1.0
2025-01-03 17:30:00,543.439823,108.99,7.0,0.0,1.0
2025-01-03 17:45:00,569.052473,108.99,6.0,0.0,1.0
2025-01-03 18:00:00,594.535873,108.44,5.0,0.0,1.0
2025-01-03 18:15:00,620.019273,108.44,4.0,0.0,1.0
2025-01-03 18:30:00,645.502673,108.44,3.0,0.0,1.0
2025-01-03 18:45:00,670.986073,108.44,2.0,0.0,1.0
2025-01-03 19:00:00,670.986073,88.19,1.0,0.0,0.0
2025-01-03 19:15:00,670.986073,88.19,1.0,0.0,0.0
2025-01-03 19:30:00,670.986073,88.19,1.0,0.0,0.0
2025-01-03 19:45:00,670.986073,88.19,1.0,0.0,0.0
2025-01-03 20:00:00,670.986073,88.5,1.0,0.0,0.0
2025-01-03 20:15:00,670.986073,88.5,1.0,0.0,0.0
2025-01-03 20:30:00,670.986073,88.5,1.0,0.0,0.0
2025-01-03 20:45:00,670.986073,88.5,1.0,0.0,0.0
2025-01-03 21:00:00,670.986073,89.08,1.0,0.0,0.0
2025-01-03 21:15:00,670.986073,89.08,1.0,0.0,0.0
2025-01-03 21:30:00,670.986073,89.08,1.0,0.0,0.0
2025-01-03 21:45:00,670.986073,89.08,1.0,0.0,0.0
2025-01-03 22:00:00,670.986073,68.95,1.0,0.0,0.0
2025-01-03 22:15:00,670.986073,68.95,1.0,0.0,0.0
2025-01-03 22:30:00,670.986073,68.95,1.0,0.0,0.0
2025-01-03 22:45:00,670.986073,68.95,1.0,0.0,0.0
2025-01-03 23:00:00,656.648573,57.35,1.0,1.0,0.0
2025-01-03 23:15:00,642.311073,57.35,1.95,1.0,0.0
2025-01-03 23:30:00,627.973573,57.35,2.9,1.0,0.0
2025-01-03 23:45:00,613.636073,57.35,3.85,1.0,0.0
2025-01-04 00:00:00,613.636073,63.46,4.8,0.0,0.0
2025-01-04 00:15:00,613.636073,63.46,4.8,0.0,0.0
2025-01-04 00:30:00,613.636073,63.46,4.8,0.0,0.0
2025-01-04 00:45:00,606.956067,63.46,4.8,0.421053,0.0
2025-01-04 01:00:00,592.246067,58.84,5.2,1.0,0.0
2025-01-04 01:15:00,577.536067,58.84,6.15,1.0,0.0
2025-01-04 01:30:00,562.826067,58.84,7.1,1.0,0.0
2025-01-04 01:45:00,548.116067,58.84,8.05,1.0,0.0
2025-01-04 02:00:00,548.116067,69.22,9.0,0.0,0.0
2025-01-04 02:15:00,548.116067,69.22,9.0,0.0,0.0
2025-01-04 02:30:00,548.116067,69.22,9.0,0.0,0.0
2025-01-04 02:45:00,548.116067,69.22,9.0,0.0,0.0
2025-01-04 03:00:00,548.116067,82.64,9.0,0.0,0.0
2025-01-04 03:15:00,548.116067,82.64,9.0,0.0,0.0
2025-01-04 03:30:00,548.116067,82.64,9.0,0.0,0.0
2025-01-04 03:45:00,548.116067,82.64,9.0,0.0,0.0
2025-01-04 04:00:00,548.116067,91.93,9.0,0.0,0.0
2025-01-04 04:15:00,548.116067,91.93,9.0,0.0,0.0
2025-01-04 04:30:00,548.116067,91.93,9.0,0.0,0.0
2025-01-04 04:45:00,548.116067,91.93,9.0,0.0,0.0
2025-01-04 05:00:00,548.116067,105.96,9.0,0.0,0.0
2025-01-04 05:15:00,548.116067,105.96,9.0,0.0,0.0
2025-01-04 05:30:00,548.116067,105.96,9.0,0.0,0.0
2025-01-04 05:45:00,548.116067,105.96,9.0,0.0,0.0
2025-01-04 06:00:00,548.116067,119.45,9.0,0.0,0.0
2025-01-04 06:15:00,548.116067,119.45,9.0,0.0,0.0
2025-01-04 06:30:00,548.116067,119.45,9.0,0.0,0.0
2025-01-04 06:45:00,548.116067,119.45,9.0,0.0,0.0
2025-01-04 07:00:00,548.116067,128.39,9.0,0.0,0.0
2025-01-04 07:15:00,548.116067,128.39,9.0,0.0,0.0
2025-01-04 07:30:00,548.116067,128.39,9.0,0.0,0.0
2025-01-04 07:45:00,548.116067,128.39,9.0,0.0,0.0
2025-01-04 08:00:00,548.116067,130.75,9.0,0.0,0.0
2025-01-04 08:15:00,548.116067,130.75,9.0,0.0,0.0
2025-01-04 08:30:00,548.116067,130.75,9.0,0.0,0.0
2025-01-04 08:45:00,548.116067,130.75,9.0,0.0,0.0
2025-01-04 09:00:00,548.116067,130.34,9.0,0.0,0.0
2025-01-04 09:15:00,548.116067,130.34,9.0,0.0,0.0
2025-01-04 09:30:00,548.116067,130.34,9.0,0.0,0.0
2025-01-04 09:45:00,548.116067,130.34,9.0,0.0,0.0
2025-01-04 10:00:00,548.116067,128.29,9.0,0.0,0.0
2025-01-04 10:15:00,548.116067,128.29,9.0,0.0,0.0
2025-01-04 10:30:00,548.116067,128.29,9.0,0.0,0.0
2025-01-04 10:45:00,548.116067,128.29,9.0,0.0,0.0
2025-01-04 11:00:00,548.116067,130.03,9.0,0.0,0.0
2025-01-04 11:15:00,548.116067,130.03,9.0,0.0,0.0
2025-01-04 11:30:00,548.116067,130.03,9.0,0.0,0.0
2025-01-04 11:45:00,548.116067,130.03,9.0,0.0,0.0
2025-01-04 12:00:00,548.116067,129.85,9.0,0.0,0.0
2025-01-04 12:15:00,548.116067,129.85,9.0,0.0,0.0
2025-01-04 12:30:00,548.116067,129.85,9.0,0.0,0.0
2025-01-04 12:45:00,548.116067,129.85,9.0,0.0,0.0
2025-01-04 13:00:00,548.116067,137.36,9.0,0.0,0.0
2025-01-04 13:15:00,548.116067,137.36,9.0,0.0,0.0
2025-01-04 13:30:00,548.116067,137.36,9.0,0.0,0.0
2025-01-04 13:45:00,548.116067,137.36,9.0,0.0,0.0
2025-01-04 14:00:00,586.637267,163.92,9.0,0.0,1.0
2025-01-04 14:15:00,625.158467,163.92,8.0,0.0,1.0
2025-01-04 14:30:00,663.679667,163.92,7.0,0.0,1.0
2025-01-04 14:45:00,702.200867,163.92,6.0,0.0,1.0
2025-01-04 15:00:00,702.200867,143.57,5.0,0.0,0.0
2025-01-04 15:15:00,702.200867,143.57,5.0,0.0,0.0
2025-01-04 15:30:00,702.200867,143.57,5.0,0.0,0.0
2025-01-04 15:45:00,702.200867,143.57,5.0,0.0,0.0
2025-01-04 16:00:00,737.157117,148.75,5.0,0.0,1.0
2025-01-04 16:15:00,772.113367,148.75,4.0,0.0,1.0
2025-01-04 16:30:00,807.069617,148.75,3.0,0.0,1.0
2025-01-04 16:45:00,842.025867,148.75,2.0,0.0,1.0
2025-01-04 17:00:00,842.025867,141.33,1.0,0.0,0.0
2025-01-04 17:15:00,842.025867,141.33,1.0,0.0,0.0
2025-01-04 17:30:00,842.025867,141.33,1.0,0.0,0.0
2025-01-04 17:45:00,842.025867,141.33,1.0,0.0,0.0
2025-01-04 18:00:00,842.025867,135.06,1.0,0.0,0.0
2025-01-04 18:15:00,842.025867,135.06,1.0,0.0,0.0
2025-01-04 18:30:00,842.025867,135.06,1.0,0.0,0.0
2025-01-04 18:45:00,842.025867,135.06,1.0,0.0,0.0
2025-01-04 19:00:00,842.025867,127.84,1.0,0.0,0.0
2025-01-04 19:15:00,842.025867,127.84,1.0,0.0,0.0
2025-01-04 19:30:00,842.025867,127.84,1.0,0.0,0.0
2025-01-04 19:45:00,842.025867,127.84,1.0,0.0,0.0
2025-01-04 20:00:00,842.025867,121.18,1.0,0.0,0.0
2025-01-04 20:15:00,842.025867,121.18,1.0,0.0,0.0
2025-01-04 20:30:00,842.025867,121.18,1.0,0.0,0.0
2025-01-04 20:45:00,842.025867,121.18,1.0,0.0,0.0
2025-01-04 21:00:00,842.025867,116.76,1.0,0.0,0.0
2025-01-04 21:15:00,842.025867,116.76,1.0,0.0,0.0
2025-01-04 21:30:00,842.025867,116.76,1.0,0.0,0.0
2025-01-04 21:45:00,842.025867,116.76,1.0,0.0,0.0
2025-01-04 22:00:00,842.025867,108.89,1.0,0.0,0.0
2025-01-04 22:15:00,842.025867,108.89,1.0,0.0,0.0
2025-01-04 22:30:00,842.025867,108.89,1.0,0.0,0.0
2025-01-04 22:45:00,842.025867,108.89,1.0,0.0,0.0
2025-01-04 23:00:00,842.025867,113.49,1.0,0.0,0.0
2025-01-04 23:15:00,842.025867,113.49,1.0,0.0,0.0
2025-01-04 23:30:00,842.025867,113.49,1.0,0.0,0.0
2025-01-04 23:45:00,842.025867,113.49,1.0,0.0,0.0
2025-01-05 00:00:00,842.025867,99.88,1.0,0.0,0.0
2025-01-05 00:15:00,842.025867,99.88,1.0,0.0,0.0
2025-01-05 00:30:00,842.025867,99.88,1.0,0.0,0.0
2025-01-05 00:45:00,842.025867,99.88,1.0,0.0,0.0
2025-01-05 01:00:00,842.025867,94.11,1.0,0.0,0.0
2025-01-05 01:15:00,842.025867,94.11,1.0,0.0,0.0
2025-01-05 01:30:00,842.025867,94.11,1.0,0.0,0.0
2025-01-05 01:45:00,842.025867,94.11,1.0,0.0,0.0
2025-01-05 02:00:00,842.025867,93.85,1.0,0.0,0.0
2025-01-05 02:15:00,842.025867,93.85,1.0,0.0,0.0
2025-01-05 02:30:00,842.025867,93.85,1.0,0.0,0.0
2025-01-05 02:45:00,842.025867,93.85,1.0,0.0,0.0
2025-01-05 03:00:00,842.025867,90.18,1.0,0.0,0.0
2025-01-05 03:15:00,842.025867,90.18,1.0,0.0,0.0
2025-01-05 03:30:00,842.025867,90.18,1.0,0.0,0.0
2025-01-05 03:45:00,842.025867,90.18,1.0,0.0,0.0
2025-01-05 04:00:00,820.820867,84.82,1.0,1.0,0.0
2025-01-05 04:15:00,799.615867,84.82,1.95,1.0,0.0
2025-01-05 04:30:00,778.410867,84.82,2.9,1.0,0.0
2025-01-05 04:45:00,757.205867,84.82,3.85,1.0,0.0
2025-01-05 05:00:00,735.785867,85.68,4.8,1.0,0.0
2025-01-05 05:15:00,714.365867,85.68,5.75,1.0,0.0
2025-01-05 05:30:00,692.945867,85.68,6.7,1.0,0.0
2025-01-05 05:45:00,671.525867,85.68,7.65,1.0,0.0
2025-01-05 06:00:00,671.525867,88.8,8.6,0.0,0.0
2025-01-05 06:15:00,671.525867,88.8,8.6,0.0,0.0
